# LAMMPS data file written by OVITO Basic 3.12.0

8015 atoms
4 atom types

0.0 53.0854816165 xlo xhi
0.0 53.0854816165 ylo yhi
0.0 53.0854816165 zlo zhi

Masses

1 26.981538  # Al
2 58.6934  # Ni
3 63.546  # Cu
4 91.224  # Zr

Atoms  # atomic

1 1 28.1863357543 7.7184457543 12.9308457543
2 1 4.6681457543 50.8981457543 45.1615457543
3 1 9.6118457543 4.9879457543 45.2963457543
4 1 0.8334457543 48.1766457543 51.4152457543
5 1 28.9410957543 21.9757257543 31.5433957543
6 1 16.7412857543 41.5837457543 41.1559457543
7 1 39.3900457543 16.4066857543 41.1915457543
8 1 11.0918457543 21.7404357543 35.2677457543
9 1 42.2276457543 40.1073457543 42.8519457543
10 1 13.9329457543 20.3452357543 43.5165457543
11 1 29.2007057543 51.7786457543 14.2566457543
12 1 13.6543457543 42.0383457543 9.8165457543
13 1 25.0727697543 48.8397457543 7.4298457543
14 1 45.4791457543 11.3542457543 12.2706457543
15 1 12.0859457543 16.4679357543 16.2964557543
16 1 27.3079857543 25.2473437543 10.7083457543
17 1 4.1413457543 2.1355457543 47.0202457543
18 1 35.0048457543 43.5816457543 2.8735457543
19 1 22.0183157543 33.3144757543 7.7046457543
20 1 48.6781457543 29.4911457543 24.9930243543
21 1 16.7882957543 50.5440457543 45.0606457543
22 1 26.3802357543 34.5558657543 49.1040457543
23 1 45.1373457543 50.8842457543 2.9526457543
24 1 47.7094457543 48.7374457543 34.2554757543
25 1 17.6273057543 52.4702457543 35.0716457543
26 1 40.8752457543 42.2714457543 14.1635457543
27 1 47.2759457543 51.5075457543 13.0686457543
28 1 35.3735457543 18.4426057543 13.5485457543
29 1 25.9911757543 48.4150457543 35.9043457543
30 1 39.7260457543 50.1609457543 35.4755457543
31 1 33.6708257543 47.8533457543 34.2915557543
32 1 19.9250657543 26.7623757543 12.0530457543
33 1 16.3378857543 21.0300157543 33.5905457543
34 1 48.9241457543 37.5307457543 35.6333457543
35 1 25.1546837543 12.7041457543 6.5053457543
36 1 33.7433257543 37.7855457543 19.7804357543
37 1 35.4149457543 38.9773457543 35.4027457543
38 1 14.7643457543 12.8824457543 9.3359457543
39 1 51.6241457543 5.9720457543 36.6616457543
40 1 33.2631457543 24.9267321543 23.7856057543
41 1 50.9528457543 25.0355581543 37.0516457543
42 1 51.6538457543 22.9150557543 41.9018457543
43 1 27.6812657543 30.6889357543 0.1371457543
44 1 19.9534157543 23.8765257543 21.8296657543
45 1 7.4654457543 9.9150457543 6.7366457543
46 1 0.0094457543 40.9246457543 11.5331457543
47 1 41.0186457543 17.2014157543 36.1541457543
48 1 23.7482157543 49.1345457543 34.6778257543
49 1 17.8641757543 49.6071457543 32.1446157543
50 1 5.0567457543 27.7523757543 48.5529457543
51 1 42.2885457543 9.5448457543 49.1270457543
52 1 1.3670457543 49.0444457543 45.9900457543
53 1 8.9596457543 18.2867857543 1.3727457543
